Cultivar_ID,Cultivar_Name,Cultivar_Alias,Female_ID,Female_Name,Male_ID,Male_Name,Subcollection,State,Country,Year,Pedigree_Original,MG,Stem_Termination,Flower_Color,Pubescence_Color,Pubescence_Form,Pubescence_Density,Pod_Color,Seedcoat_Luster,Seedcoat_Color,Hilum_Color,Other_(Seed),Other_(Leaf),Other_(Plant)
PI548500,Swift,,Z000002,11-54-240,Z000001,11-54-132,Modern,Minnesota,United States,1972,11-54-240 x 11-54-132 (Renville x Capital) 11-54-240 is from Korean x 11-42-37 (Lincoln(2) x Richland),0,N,W,T,E,N,Br,D,Y,Bl,,,
PI548651,Merrimax,,PI548554,Prize,Z000004,A100,Modern,New Hampshire,United States,1986,Prize x A100,0,N,P,G,E,N,Tn,I,Y,Bf,,,
PI548624,Verde,,PI548301,Aoda,Z000005,A50-7445,Modern,Delaware,United States,1967,Aoda x A50-7445 (Richland x Jogun),3,N,P,G,E,Ssp,Br,D,Gn,Lbf,Gnc,,
PI548693,Marshall,,PI548608,Provar,Z000007,A55629-4,Private,Indiana,United States,1981,Provar x (A55629-4 x PI 248404) A55629-4 is Roanoke x Hawkeye,2,N,P,G,E,N,Br,D,Y,Bf,,,
PI548519,BSR 101,,Z000165,L69U40-16-4,Z000010,A76-304020,Modern,Iowa,United States,1985,L69U40-16-4 (Amsoy x Calland) x A76-304020 A76-304020 is from (Beeson x AP68-1016) x (L15 x Calland) AP68-1016 is from Clark(5) x PI 84946-2 L15 is from Wayne(6) x Clark 63,1,N,P,G,E,N,Tn,D,Y,Ib,,,
PI557010,Bert,,Z000195,M74-270,Z000011,A78-123018,Modern,Minnesota,United States,1991,"M74-270 x A78-123018, F4.",1,N,P,G,E,N,Br,I,Y,Bf,,,
PI539867,LS301,,Z000014,A79-140022,Z000013,A79-140011,Modern,Iowa,United States,1990,"F4 plant selected from cross A79-140022 x A79-140011. Both parents were large-seeded e x perimental lines developed at Iowa State University, whose parentages trace to Disoy, Prize, Provar, Magna, and Amsoy.",3,N,P,G,E,N,Br,D,Y,Y,,,
PI539866,LS201,,UN000000,Unknown,Z000016,A79-240002,Modern,Iowa,United States,1990,F3 plant selected from cross (HS235 x A79-240011) x A79-240002,2,N,P,G,E,N,Tn,D,Y,Y,,,
PI612932,HF93-035,,Z000126,HM8632,Z000019,A86-204022,Modern,Ohio,United States,2000,HM8632 x A86-204022,3,N,P,G,E,N,Br,I,Y,G,,,
PI597386,Dwight,,PI540556,Jack,Z000021,A86-303014,Modern,Illinois,United States,1997,Jack x A86-303014,2,N,P,T,E,N,Tn,D,Y,Bl,,,
PI634827,NE2701,,Z000053,Colfa,Z000022,A91-701035,Modern,Nebraska,United States,2004,Colfa x x A91-701035,2,D,P,G,E,N,Tn,I,Y,Ib,,,
PI548522,BSR 301,,PI547798,L15,Z000024,AP68-1016,Modern,Iowa,United States,1979,L15 (Wayne(6) x Clark 63) x AP68-1016 AP68-1016 is from Clark(5) x PI 84946-2,3,N,W,T,E,N,Br,D,Y,Br,,,
PI548653,Dorman,,PI548318,Dunfield,Z000025,Arksoy 2913 ,Modern,Mississippi,United States,1952,Dunfield x Arksoy 2913 (a selection from Arksoy),5,D,W,G,A,N,Tn,I,Y,Bf,Vhil,,
PI548521,BSR 201,,Z000242,Pride B216,Z000026,AX901-40-2,Modern,Iowa,United States,1982,Pride B216 (Corsoy x Wayne) x AX901-40-2 AX901-40-2 is from Beeson x AP68-1022 AP68-1022 is from Clark(5) x PI 84946-2,2,N,W,G,E,N,Br,D,Y,Bf,,,
PI548972,Jupiter,,Z000059,D49-2491,Z000028,Bilomi No. 3,Modern,Florida,United States,1971,"F6 plant selection from D49-2491 x Bilomi No. 3 D49-2491 is closely related and nearly identical to 'Lee' Bilomi No. 3 is PI 240664, an introduction from the Philippines.",9,D,P,T,A,N,Br,D,Y,Brbl,Vsc,,
PI592524,Granite,,PI508084,Sibley,Z000029,BSR101,Modern,Minnesota,United States,1995,Sibley x BSR101,1,N,P,G,E,N,Br,D,Y,G,,,
PI633049,Asmara,,PI417288 ,Shibahara mame,Z000030,BV-4,Modern,Virginia,United States,2003,F5 dereived line from PI417288 x BV-4. BV-4 from T135 x PI 83945-4,6,D,W,T,E,N,Br,D,Y,Y,,,
PI633424,Randolph,,PI417288 ,Shibahara mame,Z000030,BV-4,Modern,Virginia,United States,2003,F5 derived line from PI417288 x BV-4. BV-4 from T135 x PI83945-4.,6,D,W,G,Sa,N,Br,I,Y,Bf,,,
PI548656,Lee,,PI548488,S-100,Z000031,C.N.S.,Modern,Mississippi,United States,1954,S-100 x CNS,6,D,P,T,E,N,Tn,S,Y,Bl,,,
PI548517,Bonus,,Z000037,C1266R,Z000034,C1253,Modern,Indiana,United States,1971,"C1266R (Harosoy x C1079) x C1253 (Blackhawk x Harosoy) C1079 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",4,N,P,G,E,N,Br,D,Y,Ib,,,
PI548630,Wells,,Z000037,C1266R,Z000034,C1253,Modern,Indiana,United States,1972,"C1266R (Harosoy x C1079) x C1253 (Blackhawk x Harosoy) C1079 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",2,N,P,G,E,N,Br,D,Y,Ib,,,
PI548507,Amsoy 71,,PI548506,Amsoy,Z000034,C1253,Modern,Indiana,United States,1970,Amsoy(8) x C1253 (Blackhawk x Harosoy),2,N,P,G,E,N,Tn,S,Y,Y,,,
PI548606,Pomona,,Z000036,C1266,Z000035,C1265,Modern,Kansas,United States,1974,"C1266 (Harosoy x C1079) x C1265 (Harosoy x C1079) C1079 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",4,N,P,T,E,N,Br,D,Y,Bl,,,
PI548576,Harwood,,PI548575,Harosoy 63,Z000038,C1270,Modern,Ontario,Canada,1970,Harosoy 63 x C1270 (Mandarin (Ottawa) x Clark),2,N,P,G,E,N,Br,D,Y,Y,,,
PI548605,Platte,,PI548507,Amsoy 71,Z000039,C1421,Modern,Nebraska,United States,1982,Amsoy 71 x C1421 (Adelphia(8) x Mukden),2,N,P,G,E,N,Br,S,Y,Y,,,
PI548566,Nebsoy,,Z000041,C1432,Z000040,C1430,Modern,Nebraska,United States,1979,C1432 (C1253 x Kent) x C1430 (C1253 x Kent) C1253 is from Blackhawk x Harosoy,2,N,W,G,E,N,Br,S,Y,Bf,,,
PI607385,LN92-7369,,PI533655,Burlison,Z000043,C1732,Modern,Illinois,United States,1999,Burlison x C1732.,2,N,P,T,E,N,Br,I,Y,Bl,,,
PI548547,Cutler,,PI548586,Kent,Z000048,Clark C1069,Modern,Indiana,United States,1968,"C1069 x Clark C1069 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",4,N,P,T,E,N,Br,S,Y,Bl,,,
PI602597,Boggs,,Z000108,G81-152,Z000049,Coker 6738,Modern,Georgia,United States,1998,G81-152 x Coker 6738,6,D,W,T,E,N,Tn,S,Y,Bl,,,
PI595645,Benning,,PI518664,Hutcheson,Z000049,Coker 6738,Modern,Georgia,United States,1996,Hutcheson x Coker 6738,7,D,P,T,A,N,Tn,I,Y,Br,,,
PI603953,Motte,,PI527704,A6785,Z000051,Coker 82-645,Modern,South Carolina,United States,1998,A6785 x Coker 82-645,8,D,P,T,E,N,Tn,D,Y,Bl,,,
PI608033,Kuell,,Z000218,N85-492,Z000052,Coker 85-483,Modern,Alabama,United States,1999,N85-492 x Coker 85-483.,8,D,P,G,A,N,Br,D,Y,Bf,,,
PI548528,Protana,,Z000056,CX291-42-1,Z000055,CX258-2-3-2,Modern,Indiana,United States,1969,"C x 291-42-1 (Mukden x C1069) x C x 258-2-3-2 (PI 65338 x C1079) C1069 is from C985 (Lincoln x Ogden), a 'Kent' progenitor C1079 is from C985 (Lincoln x Ogden), a 'Kent' progenitor",2,N,P,G,E,N,Br,S,Y,Ib,,,
PI576166,CX411,,PI634759,CX366,Z000057,CX438,Private,,United States,1996,CX366 x CX438,4,N,W,T,E,N,Tn,I,Y,Bl,,,
